,empleo,url_oferta,cabecera,contenido
0,data_engineer,https://www.infojobs.net/madrid/system-development-engineer-reliability-and-automation-engineering/of-i63f04d87dd4e968df30a289e72400d?applicationOrigin=search-new%7Celement%7E54064376822&searchId=54064376822&page=1&sortBy=RELEVANCE,"GUARDAR
System Development Engineer, Reliability and Automation Engineering
Amazon Europe Core
Madrid, Madrid (España)
Presencial
Publicada hace 2d (Publicada de nuevo)
Salario no disponible
Experiencia mínima: al menos 1 año
Tipo de contrato: indefinido, jornada completa
INSCRIBIRME EN ESTA OFERTA","Requisitos
Estudios mínimos
Grado
Experiencia mínima
Al menos 1 año
Requisitos mínimos
BASIC QUALIFICATIONS - Computer Science, Automation Engineering or equivalent degree
- Professional software development experience
- Deesign or architecture (design patterns, reliability and scaling) of new and existing systems experience
- Experience programming with at least one software programming language
- Strong problem solving and coding skills
PREFERRED QUALIFICATIONS - Experience with a Scripting language (Bash, PowerShell, Python, JavaScript, TypeScript)
- Experience with a Object Oriented programming language (Java, C#, C++)
- Experience with a SQL database (MySQL, MSSQL, PostgreSQL)
- Experience with AWS (S3, Lambda, RDS, System Manager, API Gateway, AppSync, DynamoDB, CloudWatch, EC2, IAM)
- .NET and Windows development knowledge
- Experience with infrastructure as code (AWS CDK, TerraForm)
- Experience with programming PLCs (Siemens, Rockwell, Mitsubishi, OMRON)
- Knowledge of PLC communication protocols (ProfiNet, Step7)
- Ability to take a project from scoping requirements through actual launch of the project.
Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon.
Descripción
Amazon is seeking a Systems Development Engineer to join our Global RME (Reliability and Maintenance Engineering) Central Team's, Reliability and Automation Engineering department. In this role, you will be at the forefront of developing and maintaining critical software solutions.

You will work on developing and maintaining internal software tools that directly interact with industrial equipment. These tools are crucial for equipment monitoring, control, data collection, and implementing predictive maintenance strategies. Our internal tools and platforms are used daily by field maintenance teams, reliability engineers, and leadership across Amazon's global fulfillment network. These solutions enable data-driven decision making, provide real-time visibility into equipment performance, and help optimize maintenance operations at scale.

Our ideal candidate is highly autonomous, possesses strong written and verbal communication skills, strong task and time management skills and has a successful track record of designing and delivering simple, scalable software solutions in an agile development environment. The desire and ability to work in a fast paced, collaborative environment is essential.

The ideal candidate -
- Has experience developing software that interfaces with industrial automation systems and PLCs
- Is passionate about building secure, scalable, and user-friendly internal tools
- Can architect cloud-native solutions that meet enterprise security requirements
- Has strong experience with AWS services and cloud architecture
- Demonstrates ability to understand and improve operational processes
- Can collaborate effectively with field teams, leadership, and other stakeholders in a highly agile and fast paced environment
- Is excited by solving problems at scale
- Talks to customers and design solutions to their problems. You automate and innovate.
- Understands the needs of Operations organizations and you aim to reduce operational burden.
Referencia
242964
Categoría
Informática y telecomunicaciones - Programación
Nivel
Empleado/a
Número de vacantes
1
Salario
Salario no disponible
No disponemos de información del número de inscritos. Este proceso se gestiona desde la web de la empresa (fuera de InfoJobs).
Denunciar oferta
Los datos bancarios, de pago y datos personales (DNI, foto) nunca deben proporcionarse al solicitar un empleo. Consulta nuestros consejos para una búsqueda de empleo segura."
1,data_engineer,https://www.infojobs.net/madrid/database-engineer/of-i940a39a5684d4d991088847422fdfb?applicationOrigin=search-new%7Celement%7E54064376822&searchId=54064376822&page=1&sortBy=RELEVANCE,"GUARDAR
Database Engineer
Deutsche Pfandbriefbank AG
Madrid, Madrid (España)
Publicada hace 1d (Publicada de nuevo)
Salario: 45.000€ - 60.000€ Bruto/mes
Experiencia mínima: al menos 2 años
Tipo de contrato: indefinido, jornada completa
INSCRIBIRME EN ESTA OFERTA","Requisitos
Estudios mínimos
Máster
Experiencia mínima
Al menos 2 años
Requisitos mínimos
Your skills consist of
-Degree in IT or equivalent training; open to lateral entrants with relevant expertise
-Proven experience with Microsoft SQL servers, databases, and current Microsoft infrastructures
-Skilled in SQL Server tools, Transact-SQL, and PowerShell
-Proficient in high availability solutions and Oracle (11g, 12c, 18c, 19c), Linux, RMAN, Dataguard, and ASM
-Strong team player with a customer-oriented approach, organizational skills, and documentation awareness
-Independent, solution-oriented worker willing to participate in stand-by rotation
-Very good command of English Language
What else are we looking for? We look forward to team players with strong communication skills who tackle life with an open attitude and look forward to further developing with us.
We offer an environment in which performance is seen and rewarded, family and free time are not neglected and real teamwork is valued.
We are now looking forward to your application. As soon as we have received your documents, we will contact you to discuss the next steps.
Descripción
Team players wanted: The pbb Deutsche Pfandbriefbank is a leading specialist bank for financing investments in commercial real estate and public infrastructure in Europe and the USA. We have more than 800 colleagues from 31 different nations who as a whole make an important contribution to society: They structure loans - even across national borders and help the real estate industry in becoming greener and more sustainable.

Would you like to be part of it? To develop your individual potential? Then you are right with us. Our corporate culture is based on trust, solidarity and expertise. We offer personal responsibility, freedom, flexible working hours, an open and modern working environment as well as an appreciative corporate culture.

For our Business Area Information Technology in Madrid , we are searching for an employee with immediate effect as
Database Engineer (m/f/d) Your tasks consist of

-Perform regular health checks, maintenance tasks, and data analysis for high-performance databases
-Implement and manage backup, recovery, and disaster recovery strategies
-Optimize SQL queries and database structures for enhanced performance
-Set up and maintain Oracle and MSSQL database installations, including migrations
-Ensure comprehensive database security, monitoring, and capacity management
-Automate tasks and execute performance tuning for optimal database operations
Referencia
240631
Categoría
Informática y telecomunicaciones - Administración de bases de datos
Nivel
Mando intermedio
Número de vacantes
1
Salario
Salario: 45.000€ - 60.000€ Bruto/mes
No disponemos de información del número de inscritos. Este proceso se gestiona desde la web de la empresa (fuera de InfoJobs).
Denunciar oferta
Los datos bancarios, de pago y datos personales (DNI, foto) nunca deben proporcionarse al solicitar un empleo. Consulta nuestros consejos para una búsqueda de empleo segura."
2,data_engineer,https://www.infojobs.net/madrid/data-engineer-spark-python-madrid/of-i653c5676894d828849c2e3f66ea371?applicationOrigin=search-new%7Celement%7E54064376822&searchId=54064376822&page=1&sortBy=RELEVANCE,"GUARDAR
Proceso online
Data engineer(Spark+Python)-Madrid
Luca TIC
85%
4,2
77 opiniones
Madrid, Madrid (España)
Híbrido
Publicada hace 1d
Salario no disponible
Experiencia mínima: al menos 1 año
Tipo de contrato: indefinido, jornada completa
INSCRIBIRME EN ESTA OFERTA","Requisitos
Estudios mínimos
Ciclo Formativo Grado Superior
Experiencia mínima
Al menos 1 año
Conocimientos necesarios
Python
Banca
Inversiones
Banca privada
ETL
Sector banca
spark
PostgreSQL
SQL
hibrido
Descripción
Desde Luca TIC buscamos un Data engineer para un proyecto del sector bancario.
Requisitos :
-Experiencia en el desarrollo de pipelines ETL con Apache Spark y Python.
-Conocimiento práctico de servicios AWS como S3, RDS (PostgreSQL) e IAM, AWS Glue, Amazon EMR y Lambda.
-Sólidas habilidades en SQL.
-Familiaridad con sistemas de control de versiones y flujos de CI/CD.
-Experiencia con procesamiento de datos en tiempo real (deseable).
Certificación AWS en relación con datos o arquitecturas cloud (deseable).
Conocimiento de conceptos de inversiones y modelos de datos de banca privada (deseable).
Buen nivel de inglés B2 (deseable).
¿Qué ofrecemos?:
-Contrato indefinido.
-Modalidad hibrida (4 oficina + 1 casa)+ teletrabajo meses verano y navidad.
-Seguro médico.
-Formar parte de un ambiente innovador en constante crecimiento donde desarrollar tu carrera profesional.
Tipo de industria de la oferta
Servicios y tecnología de la información
Categoría
Informática y telecomunicaciones - Telecomunicaciones
Nivel
Empleado/a
Número de vacantes
1
Salario
Salario no disponible
Beneficios sociales
Teletrabajo
Seguro médico
10 inscritos a esta oferta
Nuestro consejo: inscríbete si tienes el perfil, puede que se ajuste más que el de otros inscritos.
Denunciar oferta
Los datos bancarios, de pago y datos personales (DNI, foto) nunca deben proporcionarse al solicitar un empleo. Consulta nuestros consejos para una búsqueda de empleo segura."
3,data_engineer,https://www.infojobs.net/madrid/data-engineer-100-remote-freelance/of-i328c2399064942825bd9e8b1c21dcc?applicationOrigin=search-new%7Celement%7E54064376822&searchId=54064376822&page=1&sortBy=RELEVANCE,"GUARDAR
Data Engineer | 100% remote | Freelance
EKKIDEN
Madrid, Madrid (España)
Solo teletrabajo
Publicada hace 5d (Publicada de nuevo)
Salario: 3€ - 4.200€ Bruto/mes
Experiencia mínima: al menos 2 años
Tipo de contrato: autónomo, jornada indiferente
INSCRIBIRME EN ESTA OFERTA","Requisitos
Estudios mínimos
Sin estudios
Experiencia mínima
Al menos 2 años
Requisitos mínimos
What we are looking for:
-+3 years of experience in data engineering roles with expertise in Databricks, AWS Glue, or Apache Spark.
-Strong programming skills in Python or similar languages.
-Proficiency with SQL/NoSQL databases (MySQL, PostgreSQL, MongoDB) and data integration.
-Experience working with ETL frameworks and building data pipelines.
-Familiarity with Azure cloud environments and their data services (Databricks, Data Factory, etc.).
-Knowledge of Agile/Scrum methodologies and experience with continuous delivery and deployment.
-Demonstrated experience in greenfield development projects, driving innovative solutions from inception to completion
-Strong problem-solving and communication skills, with the ability to collaborate across teams, including business and data analysts, to translate requirements into actionable solutions
-High english level
Descripción
About the job :
To strengthen the clients experienced and motivated Data Platform team, the client is looking for a Data Engineer. In this role, you will be jointly responsible for exciting and challenging projects, participating in all phases from design to implementation. You will have the opportunity to work on cutting-edge technologies and processes while contributing to the organization's goals of data digitization and optimization.
They are focused on creating and maintaining scalable systems, supporting the collection, processing, and transformation of large datasets. A strong understanding of core engineering concepts, best practices such as testing, source control, and agile planning are essential, as well as an ability to take well-scoped components of larger projects and see them through to completion. This position is ideal for someone looking to grow as an engineer, mastering specific products or areas within our systems.
Data Engineer | 100% remote | Freelance
Referencia
240453
Categoría
Informática y telecomunicaciones - Sistemas
Nivel
Mando intermedio
Número de vacantes
1
Salario
Salario: 3€ - 4.200€ Bruto/mes
No disponemos de información del número de inscritos. Este proceso se gestiona desde la web de la empresa (fuera de InfoJobs).
Denunciar oferta
Los datos bancarios, de pago y datos personales (DNI, foto) nunca deben proporcionarse al solicitar un empleo. Consulta nuestros consejos para una búsqueda de empleo segura."
4,data_engineer,https://www.infojobs.net/madrid/data-engineer-scala-spark/of-i3dd3df5cc14dd9b3ae76a593f17316?applicationOrigin=search-new%7Celement%7E54064376822&searchId=54064376822&page=1&sortBy=RELEVANCE,"GUARDAR
Data Engineer Scala/Spark
ALVEA SOLUCIONES TECNOLOGICAS, S.L.
94%
4,7
10 opiniones
Madrid, Madrid (España)
Solo teletrabajo
Publicada hace 3d (Publicada de nuevo)
Salario no disponible
Experiencia mínima: al menos 1 año
Tipo de contrato: indefinido, jornada completa
INSCRIBIRME EN ESTA OFERTA","Requisitos
Estudios mínimos
Educación Secundaria Obligatoria
Experiencia mínima
Al menos 1 año
Imprescindible residente en
España
Conocimientos necesarios
SCALA
Spark
Mantenimiento
Descripción
Data Engineer (Spark/Scala) - Alvea Soluciones Tecnológicas
Ubicación: 100% remoto
Contrato: Indefinido
Descripción del puesto: En Alvea Soluciones Tecnológicas, estamos buscando un Data Engineer con experiencia en Scala para unirse a nuestro equipo. Esta posición está orientada a la mantenimiento y monitoreo de aplicaciones, por lo que será necesario revisar logs de procesos que corren en ADA (AWS) para garantizar el correcto funcionamiento de la infraestructura.
Responsabilidades:
Monitoreo y mantenimiento de la aplicación en producción.
Análisis y resolución de incidencias observadas en los logs de los procesos.
Soporte durante guardias programadas para asegurar el funcionamiento continuo.
Colaboración con el equipo de desarrollo para identificar y resolver problemas.
Implementación de mejoras en la eficiencia y estabilidad del sistema.
Requisitos:
Experiencia sólida en Scala.
Conocimiento de ADA (AWS) y experiencia trabajando con servicios en la nube.
Experiencia en manejo y análisis de logs.
Capacidad para gestionar y solucionar problemas de producción.
Disponibilidad para realizar guardias programadas.
Ofrecemos:
Trabajo 100% remoto, desde cualquier lugar.
Contrato indefinido.
Oportunidades de crecimiento y desarrollo profesional en un equipo dinámico.
Si estás buscando un desafío en el mundo de los datos y tienes las habilidades necesarias, ¡queremos conocerte!
Tipo de industria de la oferta
Servicios y tecnología de la información
Categoría
Finanzas y banca - Productos y servicios bancarios
Nivel
Empleado/a
Número de vacantes
1
Salario
Salario no disponible
Beneficios sociales
Teletrabajo
59 inscritos a esta oferta
Nuestro consejo: inscríbete si tienes el perfil, puede que se ajuste más que el de otros inscritos.
Denunciar oferta
Los datos bancarios, de pago y datos personales (DNI, foto) nunca deben proporcionarse al solicitar un empleo. Consulta nuestros consejos para una búsqueda de empleo segura."
5,data_engineer,https://www.infojobs.net/madrid/data-engineer-remoto/of-i92e6acbc894d03959105da9ea88daa?applicationOrigin=search-new%7Celement%7E54064376822&searchId=54064376822&page=1&sortBy=RELEVANCE,"GUARDAR
Proceso online
Data Engineer // Remoto
BOYCOR
82%
4,1
9 opiniones
Madrid, Madrid (España)
Solo teletrabajo
Publicada hace 4d
Salario: 36.000€ - 36.000€ Bruto/año
Experiencia mínima: al menos 3 años
Tipo de contrato: indefinido, jornada completa
INSCRIBIRME EN ESTA OFERTA","Requisitos
Estudios mínimos
Ciclo Formativo Grado Medio
Experiencia mínima
Al menos 3 años
Idiomas requeridos
Inglés - Nivel Avanzado
Conocimientos necesarios
Hadoop
Python
SCALA
ETL
SQL
Spark
Cloudera
Hive
Requisitos mínimos
Conocimiento en tecnologías como Hadoop, Hive, Spark y herramientas de procesamiento distribuido
· Experiencia sólida en Java, Python o Scala
· Dominio de consultas SQL complejas para interactuar y extraer información de bases de datos distribuidas de manera eficiente.
· Experiencia con AWS, Azure o GCP, especialmente con soluciones de Big Data nativas de la nube.
· Nivel avanzado de Inglés para trabajar en un equipo internacional y participar activamente en reuniones y proyectos a nivel global.
Descripción
¿Eres Data Engineer y estás buscando un nuevo proyecto? Si además te gustaría trabajar desde cualquier parte de España en un entorno con profesionales internacionales de alto rendimiento donde poder perfeccionar tu nivel de inglés ¡Esta es tu oportunidad! Me encuentro buscando un Data Engineer para trabajar de la mano una de las principales multinacionales españolas del sector IT, en un proyecto para la que es considerada como una de las mayores entidades financieras a nivel mundial.
¡Queremos conocerte!
¿Cómo será tu DÍA A DÍA?
· Trabajarás con arquitecturas de datos escalables y distribuidas, utilizando tecnologías como Hadoop, Hive y Spark, para garantizar que los datos se gestionen de manera eficiente y se puedan escalar con el crecimiento del negocio.
· Participarás en la administración y mejora continua de clústeres de Big Data
· Desarrollarás, optimizarás y mantendrás pipelines de datos
· Implementarás y optimizarás procesos ETL avanzados utilizando Python, integrando múltiples fuentes de datos (bases de datos, APIs, archivos) y transformándolos para su posterior análisis y explotación.
· Utilizarás SQL avanzado para realizar consultas complejas y obtener insights de grandes volúmenes de datos, optimizando las consultas para que se ejecuten de forma rápida y eficiente.
· Trabajarás en plataformas en la nube, como AWS, Azure o GCP
· Aplicarás prácticas de DevOps y trabajarás con herramientas de CI/CD para automatizar el ciclo de vida de las soluciones de datos, mejorando la eficiencia en el desarrollo, pruebas y despliegue de pipelines de datos.
¿Cuál es la CLAVE de este puesto?
· Conocimiento en tecnologías como Hadoop, Hive, Spark y herramientas de procesamiento distribuido
· Experiencia sólida en Java, Python o Scala
· Dominio de consultas SQL complejas para interactuar y extraer información de bases de datos distribuidas de manera eficiente.
· Experiencia con AWS, Azure o GCP, especialmente con soluciones de Big Data nativas de la nube.
· Nivel avanzado de Inglés para trabajar en un equipo internacional y participar activamente en reuniones y proyectos a nivel global.
¿Qué podemos OFRECERTE?
· Contrato indefinido con Boycor para proyecto estable
· Modalidad de trabajo: 100% remota
· Horario: L-J 09 a 18h y, los Viernes y en verano de 08 a 15h.
·Condiciones económicas: 36.000€ B/A (cifra orientativa abierta a negociación según experiencia a aportar)
¿Te sientes identificado/a? No dudes en inscribirte.
Referencia
EPT02125
Tipo de industria de la oferta
Servicios y tecnología de la información
Categoría
Informática y telecomunicaciones - Análisis
Nivel
Empleado/a
Número de vacantes
1
Salario
Salario: 36.000€ - 36.000€ Bruto/año
Beneficios sociales
Teletrabajo
4 inscritos a esta oferta
Nuestro consejo: inscríbete si tienes el perfil, puede que se ajuste más que el de otros inscritos.
Denunciar oferta
Los datos bancarios, de pago y datos personales (DNI, foto) nunca deben proporcionarse al solicitar un empleo. Consulta nuestros consejos para una búsqueda de empleo segura."
6,data_engineer,https://www.infojobs.net/madrid/data-engineer-datalake/of-i3c947653e148b49731b42bdd64f73c?applicationOrigin=search-new%7Celement%7E54064376822&searchId=54064376822&page=1&sortBy=RELEVANCE,"GUARDAR
Data Engineer- Datalake
COBSER CONSULTING
91%
4,6
28 opiniones
Madrid, Madrid (España)
Solo teletrabajo
Publicada hace 4d
Salario: 40.000€ - 45.000€ Bruto/año
Experiencia mínima: al menos 4 años
Tipo de contrato: indefinido, jornada completa
INSCRIBIRME EN ESTA OFERTA","Requisitos
Estudios mínimos
Grado
Experiencia mínima
Al menos 4 años
Requisitos mínimos
-Experiencia de 4 años en el rol.
- Conocimiento y experiencia en entornos datalake como elemento clave.
- Experiencia demostrable en desarrollos de ETL con Databricks/Spark, idealmente en Scala (Python valorable).
- Conocimiento y experiencia en entornos datalake, específicamente en MS Azure (ADLS, Data Factory) y Databricks.
Descripción
Desde Cobser Consulting nos encontramos en la búsqueda de un Data Engineer Datalake para el desarrollo evolutivo de los data products de siniestros existentes, desarrollados en Databricks con Scala y coordinados con Data Factory. La información a incorporar en el data product ya se encuentra disponible en el datalake, por lo que se deberá integrarla según la lógica definida por el negocio y sus requisitos.
funciones:
Analizar la necesidad de información y mapearla a los datos de origen con la ayuda requerida.
Desarrollar código en Scala Spark para evolucionar las tablas del data product de siniestros y los procesos ETL para enriquecerlo.
Documentar e integrar los desarrollos en el manual de operación/BAU correspondiente.
Se ofrece
-Trabajo en remoto
- Salario acorde experiencia entre: *texto oculto*0 € b/a
- Proyecto estable y de larga duración
- Formación anual
Categoría
Informática y telecomunicaciones - Análisis
Nivel
Empleado/a
Personal a cargo
0
Número de vacantes
1
Salario
Salario: 40.000€ - 45.000€ Bruto/año
18 inscritos a esta oferta
Nuestro consejo: inscríbete si tienes el perfil, puede que se ajuste más que el de otros inscritos.
Al inscribirte en esta oferta tendrás que aceptar que COBSER CONSULTING reciba y gestione tus datos.
Denunciar oferta
Los datos bancarios, de pago y datos personales (DNI, foto) nunca deben proporcionarse al solicitar un empleo. Consulta nuestros consejos para una búsqueda de empleo segura."
7,data_engineer,https://www.infojobs.net/madrid/big-data-engineer-remoto/of-ie99a778c37465ca4a1ac985bfa8f3b?applicationOrigin=search-new%7Celement%7E54064376822&searchId=54064376822&page=1&sortBy=RELEVANCE,"GUARDAR
Big Data Engineer - REMOTO
Digital Talent Agency Zona Oeste
73%
3,7
3 opiniones
Madrid, Madrid (España)
Solo teletrabajo
Publicada hace 5d (Publicada de nuevo)
Salario no disponible
Experiencia mínima: al menos 3 años
Tipo de contrato: indefinido, jornada completa
INSCRIBIRME EN ESTA OFERTA","Requisitos
Estudios mínimos
Ciclo Formativo Grado Medio
Experiencia mínima
Al menos 3 años
Conocimientos necesarios
spark
python
java
jenkins
git
kafka
sonarqube
openshift
agile
devops
Descripción
Big Data Engineer – Proyecto Tecnológico

Ubicación: 100% Remoto

Contrato: Indefinido con Zemsania para un proyecto en el sector financiero

¿Qué ofrecemos en Zemsania?

Contrato indefinido desde el primer día.

Plan de formación y certificaciones en tecnologías avanzadas.

Acompañamiento personalizado con un People Partner.

Participación en proyectos tecnológicos innovadores.

Trabajo con tecnologías punteras en un equipo de alto nivel.

Requisitos mínimos:

Experiencia de 3-5 años en entornos de Big Data.

Manejo de tecnologías clave:

- Big Data & Spark
- Java & Python
- Kafka & Jenkins
- Git & SonarQube
- Openshift & Agile
- Confluence

Soft skills destacadas: Capacidad de comunicación y trabajo en equipo.

Requisitos deseables:

Experiencia previa en el sector financiero.

Conocimientos en arquitecturas de datos avanzadas.

Funciones:

- Incorporación al Squad de Data en un proyecto de alto impacto.
- Desarrollo y mantenimiento de soluciones Big Data.
- Implementación de arquitecturas basadas en Spark, Kafka y Java/Python.
- Optimización y automatización de procesos en entornos de datos escalables.
- Aplicación de metodologías Agile para la gestión eficiente de proyectos.

Si te apasiona el Big Data y quieres formar parte de un equipo innovador, ¡te estamos buscando!

En Zemsania, creemos en la igualdad de oportunidades y en la diversidad como valores fundamentales para el éxito de nuestra organización. Por ello, garantizamos un proceso de selección basado en el mérito y sin discriminación por motivos de género, edad, discapacidad, orientación sexual, raza, religión o cualquier otra condición personal o social.
Referencia
naYdfErpddqZ
Tipo de industria de la oferta
Servicios y tecnología de la información
Categoría
Informática y telecomunicaciones - Administración de bases de datos
Nivel
Empleado/a
Número de vacantes
1
Salario
Salario no disponible
Beneficios sociales
Teletrabajo
10 inscritos a esta oferta
Nuestro consejo: inscríbete si tienes el perfil, puede que se ajuste más que el de otros inscritos.
Denunciar oferta
Los datos bancarios, de pago y datos personales (DNI, foto) nunca deben proporcionarse al solicitar un empleo. Consulta nuestros consejos para una búsqueda de empleo segura."
8,data_engineer,https://www.infojobs.net/madrid/data-engineer/of-ie0baf8892041da84ec4fcd862b16b9?applicationOrigin=search-new%7Celement%7E54064376822&searchId=54064376822&page=1&sortBy=RELEVANCE,"GUARDAR
Proceso online
Data Engineer
BOYCOR
82%
4,1
9 opiniones
Madrid, Madrid (España)
Híbrido
Publicada hace 3d
Salario: 36.000€ - 41.000€ Bruto/año
Experiencia mínima: al menos 1 año
Tipo de contrato: indefinido, jornada completa
INSCRIBIRME EN ESTA OFERTA","Requisitos
Estudios mínimos
Ciclo Formativo Grado Superior
Experiencia mínima
Al menos 1 año
Imprescindible residente en
No Requerido
Idiomas requeridos
Inglés - Nivel Avanzado
Conocimientos necesarios
Spark
SCALA
Kafka
Airflow
Requisitos mínimos
-Experiencia en desarrollo y optimización de pipelines con Apache Spark y Scala.
- Conocimientos en procesamiento de datos en tiempo real con Apache Kafka.
-Habilidad en orquestación y automatización de flujos con Apache Airflow.
-Nivel alto de inglés
Descripción
¿Eres Ingeniero de datos y buscas un cambio profesional ? Desde Boycor buscamos un Data Engineer para trabajar en una multinacional francesa del sector IT en un importante proyecto del sector bancario de una de las principales entidades financieras a nivel global, donde podrás participar en la optimización y gestión de grandes volúmenes de datos, contribuyendo a la creación de soluciones innovadoras y eficientes.
¡Te estamos esperando!
¿Cómo SERÁ tu día a día?
- Diseñar, construir y mantener pipelines de datos utilizando Apache Spark sobre Scala, procesando datos desde diversas fuentes como Kafka, APIs y HDFS.
- Implementar y gestionar pipelines de CI/CD empleando herramientas como GitLab y Jenkins.
-Configurar procesos de orquestación con Apache Airflow para automatizar flujos de datos complejos.
-Garantizar la calidad y consistencia de los datos para conseguir buenos resultados.
- Colaborar en la resolución de incidentes, el soporte en producción y la mejora continua del código.
-Documentar procesos técnicos, fomentando el intercambio de conocimiento y el desarrollo del equipo.
¿Cuál es la CLAVE de este puesto?
-Experiencia en desarrollo y optimización de pipelines con Apache Spark y Scala.
- Conocimientos en procesamiento de datos en tiempo real con Apache Kafka.
- Habilidad en orquestación y automatización de flujos con Apache Airflow.
-Nivel alto de inglés
Tendrás puntos extras si cuentas con experiencia o conocimientos en:
- Tecnologías de almacenamiento: HDFS y S3.
- Herramientas de integración continua: GitLab, Jenkins, etc.
- Contenedores y orquestación: Kubernetes.
-Bases de datos y análisis: Elasticsearch y Dremio.
¿Qué te podemos OFRECER?
- Contrato indefinido con Boycor para proyecto estable
- Modalidad de trabajo: hibrido
-Ubicación: Madrid
-Horario flexible: L-J 09:00 a 18:00 y V 08:00-15:00, jornada intensiva en verano
-Salario: 41.000€ brutos anuales (cifra orientativa abierta a negociación)
¿Te sientes identificado/a? No dudes en inscribirte.
Referencia
EPT02425
Tipo de industria de la oferta
Servicios y tecnología de la información
Categoría
Informática y telecomunicaciones - Análisis
Nivel
Empleado/a
Número de vacantes
1
Duración del contrato
Estable
Salario
Salario: 36.000€ - 41.000€ Bruto/año
Beneficios sociales
Teletrabajo
2 inscritos a esta oferta
Nuestro consejo: inscríbete si tienes el perfil, puede que se ajuste más que el de otros inscritos.
Denunciar oferta
Los datos bancarios, de pago y datos personales (DNI, foto) nunca deben proporcionarse al solicitar un empleo. Consulta nuestros consejos para una búsqueda de empleo segura."
9,data_engineer,https://www.infojobs.net/madrid/data-engineer/of-ia5cda316eb43d49aa56a4e819d7a01?applicationOrigin=search-new%7Celement%7E54064376822&searchId=54064376822&page=1&sortBy=RELEVANCE,"GUARDAR
Proceso online
Data Engineer
Vipirsa
90%
4,5
22 opiniones
Madrid, Madrid (España)
Solo teletrabajo
Publicada hace 5d
Salario no disponible
Experiencia mínima: al menos 3 años
Tipo de contrato: indefinido, jornada completa
INSCRIBIRME EN ESTA OFERTA","Requisitos
Estudios mínimos
Ciclo Formativo Grado Superior
Experiencia mínima
Al menos 3 años
Conocimientos necesarios
Azure
Databricks
Synapse
Data Factory
Python
SQL
ETL
Spark
Jenkins
Terraform
Descripción
Desde VIPIRSA, empresa especializada en proyectos de desarrollos tecnológicos en búsqueda de auténticos talentos, estamos buscando un Ingeniero de Datos en Azure con al menos 3-5 años de experiencia.
La modalidad de trabajo es en remoto 100% en horario de oficina.
REQUISITOS:
-Ingeniero de datos con al menos 3-5 experiencia en arquitecturas Azure: Databricks, Synapse, Datafactory, SQL Database.
-Diseño y creación de modelos de datos (definición y creación de tablas, complejidad de relaciones y de queries, grandes volumetrías, procedimientos almacenados...)
-Desarrollo de pipelines y transformaciones de datos complejas (ETLs).
-Buen nivel de SQL e idealmente experiencia con python.
-Experiencia en proyectos agile
-Valorable conocimiento y experiencia con metodologías y herramientas para despliegue e integración continua (Azure DevOps, Github, Jenkins, Terraform, Docker, Ansible...)
-Valorable conocimiento/experiencia en spark/pyspark.
-Key words para búsquedas: Databricks, Synapse, Data Factory
-Inglés B2
SE OFRECE:
-Contratación indefinida con Vipirsa.
-Salario entre 35.000 y 37.000 euros brutos al año
Referencia
390586
Tipo de industria de la oferta
Servicios y tecnología de la información
Categoría
Informática y telecomunicaciones - Análisis
Nivel
Empleado/a
Número de vacantes
1
Salario
Salario no disponible
Beneficios sociales
Teletrabajo
10 inscritos a esta oferta
Nuestro consejo: inscríbete si tienes el perfil, puede que se ajuste más que el de otros inscritos.
Denunciar oferta
Los datos bancarios, de pago y datos personales (DNI, foto) nunca deben proporcionarse al solicitar un empleo. Consulta nuestros consejos para una búsqueda de empleo segura."
