,job_title,job_detail_url,job_listed,company_name,company_link,company_location
0,"Software Engineer, Sustaining Engineering",https://es.linkedin.com/jobs/view/software-engineer-sustaining-engineering-at-canonical-4147515073?refId=iogc%2B4XiXLpYrKPr7Us7Lw%3D%3D&trackingId=WHatCbte%2FeV1q9H4TiwMRw%3D%3D&position=8&pageNum=32,1 hour ago,Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,"Sevilla La Nueva, Community of Madrid, Spain"
1,"Software Engineer, Sustaining Engineering",https://es.linkedin.com/jobs/view/software-engineer-sustaining-engineering-at-canonical-4147514352?refId=iogc%2B4XiXLpYrKPr7Us7Lw%3D%3D&trackingId=HuJlyEdMjMS6l9GX6OnwhA%3D%3D&position=9&pageNum=32,1 hour ago,Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
2,Qlik Sense Specialist,https://es.linkedin.com/jobs/view/qlik-sense-specialist-at-empresa-confidencial-4145387750?refId=k9%2FkRnfSBzcobArEZmRAig%3D%3D&trackingId=dhk94I1%2FRIkPVCflE8ihPA%3D%3D&position=2&pageNum=35,4 hours ago,Empresa Confidencial,https://br.linkedin.com/company/empresa-confidencial?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
3,Senior Data Analyst,https://es.linkedin.com/jobs/view/senior-data-analyst-at-turner-townsend-3945447879?refId=lLfUMnXEaEcpWjyocCqvfg%3D%3D&trackingId=Rj3DvIZcSsdM8RphCndS0A%3D%3D&position=9&pageNum=10,9 hours ago,Turner & Townsend,https://uk.linkedin.com/company/turner-&-townsend?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
4,Data Strategyst,https://es.linkedin.com/jobs/view/data-strategyst-at-craft-worldwide-4127724532?refId=1gxsBjCoxyvxl5YEGDjwHQ%3D%3D&trackingId=gfVKlA6nRLWYxV2WiHqcIw%3D%3D&position=14&pageNum=12,9 hours ago,Craft Worldwide,https://www.linkedin.com/company/craftworldwide?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
5,Software Engineer (Pricing & Underwriting),https://es.linkedin.com/jobs/view/software-engineer-pricing-underwriting-at-prima-4077411227?refId=LtGvNDRbIiqTwa1XzDQk5w%3D%3D&trackingId=EAmL4Pv4HeWHoKRZD7dbfg%3D%3D&position=22&pageNum=21,9 hours ago,Prima,https://it.linkedin.com/company/prima-assicurazioni?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
6,Auditor/a Interno/a IA/Big Data,https://es.linkedin.com/jobs/view/auditor-a-interno-a-ia-big-data-at-sacyr-4119575123?refId=%2Fq8IkmAC8FsOi3L4LWt3mA%3D%3D&trackingId=dR%2FTPWT1l4KI7WFoNZRSqw%3D%3D&position=3&pageNum=26,9 hours ago,SACYR,https://es.linkedin.com/company/sacyr?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
7,Lead Data Engineer (m/f/d),https://es.linkedin.com/jobs/view/lead-data-engineer-m-f-d-at-thoughtworks-4057245303?refId=0lQEwrH3pQrcnHMZEPdE6Q%3D%3D&trackingId=0XK0Yg3k5aeoQjG%2Bc6FVgg%3D%3D&position=2&pageNum=3,10 hours ago,Thoughtworks,https://www.linkedin.com/company/thoughtworks?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
8,Data Visualization Engineer,https://es.linkedin.com/jobs/view/data-visualization-engineer-at-inetum-4124347388?refId=qiJ6q4%2BjkVAGpjN7lVYm9g%3D%3D&trackingId=ILzyqkAjIDdQV8EbuBhtlA%3D%3D&position=17&pageNum=6,10 hours ago,Inetum,https://fr.linkedin.com/company/inetum?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
9,Data Project Analyst,https://es.linkedin.com/jobs/view/data-project-analyst-at-repsol-4092569724?refId=XzILX%2FJyntX%2BslwEYSdfAA%3D%3D&trackingId=qbO75HBaWxZD9rEM59Vj4w%3D%3D&position=2&pageNum=8,10 hours ago,Repsol,https://es.linkedin.com/company/repsol?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
