job_title,job_detail_url,job_listed,company_name,company_link,company_location
Business Data Analyst,https://es.linkedin.com/jobs/view/business-data-analyst-at-repsol-4092886715?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=oNJB2BwNRStCiu2mT%2FWPSQ%3D%3D&position=1&pageNum=0,3 days ago,Repsol,https://es.linkedin.com/company/repsol?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Analista de datos,https://es.linkedin.com/jobs/view/analista-de-datos-at-shakers-4129619544?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=t2AQ%2FhKyYRuMpX7sslipSg%3D%3D&position=2&pageNum=0,2 weeks ago,Shakers,https://es.linkedin.com/company/shakersworks?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Analista de datos,https://es.linkedin.com/jobs/view/analista-de-datos-at-vass-4132089724?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=JUBtee%2Fvqi61SWRuzKa6ug%3D%3D&position=3&pageNum=0,2 weeks ago,VASS,https://es.linkedin.com/company/vass?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Analyst Power BI,https://es.linkedin.com/jobs/view/data-analyst-power-bi-at-logicalis-spain-4125751464?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=VLXB0e6jUBZZykjaIQa54A%3D%3D&position=4&pageNum=0,5 days ago,Logicalis Spain,https://es.linkedin.com/company/logicalis-spain?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Analista de datos,https://es.linkedin.com/jobs/view/analista-de-datos-at-codere-4139882556?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=UvZtvsT1H8xC3ylXgmYpHQ%3D%3D&position=5&pageNum=0,1 week ago,Codere,https://es.linkedin.com/company/codere?trk=public_jobs_jserp-result_job-search-card-subtitle,"Alcobendas, Community of Madrid, Spain"
Analista BI & Analytics,https://es.linkedin.com/jobs/view/analista-bi-analytics-at-palladium-hotel-group-4124766530?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=nW7yyx4Rf0uP7AAwQN%2BgWA%3D%3D&position=6&pageNum=0,3 weeks ago,Palladium Hotel Group,https://es.linkedin.com/company/palladiumhotelgroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Analyst,https://es.linkedin.com/jobs/view/data-analyst-at-revel-4141673886?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=HE6g%2BRqtVxdyjKq4HlFX3A%3D%3D&position=7&pageNum=0,3 days ago,REVEL,https://es.linkedin.com/company/driverevel?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Business Data Analyst en Customer Intelligence,https://es.linkedin.com/jobs/view/business-data-analyst-en-customer-intelligence-at-endesa-4123832619?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=p0ZL0AF2BQ%2BOAdG3em09Zg%3D%3D&position=8&pageNum=0,3 weeks ago,Endesa,https://es.linkedin.com/company/endesa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Analyst - Fraude Audiovisual,https://es.linkedin.com/jobs/view/data-analyst-fraude-audiovisual-at-laliga-4142631834?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=tMkPmdeD3P0HjJZaVLoRaQ%3D%3D&position=9&pageNum=0,5 days ago,LALIGA,https://es.linkedin.com/company/laliga?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Analyst,https://es.linkedin.com/jobs/view/data-analyst-at-scalian-4138066102?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=X0CZueB9knoonpLk%2BXjl%2Bw%3D%3D&position=10&pageNum=0,1 week ago,Scalian,https://fr.linkedin.com/company/scaliangroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Analyst,https://es.linkedin.com/jobs/view/data-analyst-at-novaquality-consulting-4137428610?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=pTDTkdTSTs6O1vRxQU7DDg%3D%3D&position=11&pageNum=0,1 week ago,NovaQuality Consulting,https://es.linkedin.com/company/novaquality-consulting?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Growth - Data & Visualization Analyst,https://es.linkedin.com/jobs/view/growth-data-visualization-analyst-at-fever-4145772578?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=8jO5iYeWgoNPixjrDzCQfg%3D%3D&position=12&pageNum=0,1 day ago,Fever,https://www.linkedin.com/company/fever-up?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Analyst,https://es.linkedin.com/jobs/view/data-analyst-at-cabify-4068284070?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=DmwBd6Kp%2FLHNi2i5HZrHLA%3D%3D&position=13&pageNum=0,3 months ago,Cabify,https://es.linkedin.com/company/cabify?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Analyst - Ignite,https://es.linkedin.com/jobs/view/data-analyst-ignite-at-chubb-4135275353?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=4gc1fSSu4%2Bjg0KQ7x%2Bm9SQ%3D%3D&position=14&pageNum=0,1 week ago,Chubb,https://ch.linkedin.com/company/chubb?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Analyst,https://es.linkedin.com/jobs/view/data-analyst-at-prima-4138412654?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=7ksGUn1WgWO4sXQ4l%2BW7KQ%3D%3D&position=15&pageNum=0,1 week ago,Prima,https://it.linkedin.com/company/prima-assicurazioni?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Analyst (Product),https://es.linkedin.com/jobs/view/data-analyst-product-at-revolut-4026013717?refId=%2BMnfSGsd8tbl21DYymp7Rw%3D%3D&trackingId=RYhNlN%2FOgP1OTMVih0Bguw%3D%3D&position=16&pageNum=0,3 weeks ago,Revolut,https://uk.linkedin.com/company/revolut?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
