job_title,job_detail_url,job_listed,company_name,company_link,company_location
Junior - Inteligencia Artificial - Madrid,https://es.linkedin.com/jobs/view/junior-inteligencia-artificial-madrid-at-deloitte-4141146093?refId=6WikrDfMCLs3C1YAYn%2F7tA%3D%3D&trackingId=pnu9D%2FSP8JaUqKbxEsUCLg%3D%3D&position=1&pageNum=0,5 days ago,Deloitte,https://www.linkedin.com/company/deloitte?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Scientist,https://es.linkedin.com/jobs/view/data-scientist-at-bbva-technology-en-europa-4139654186?refId=6WikrDfMCLs3C1YAYn%2F7tA%3D%3D&trackingId=9ghK9FoQ8JSdjNKo%2BJn3kA%3D%3D&position=2&pageNum=0,1 week ago,BBVA Technology en Europa,https://es.linkedin.com/company/bbva-technology-en-europa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Scientist,https://es.linkedin.com/jobs/view/data-scientist-at-axa-4141619527?refId=6WikrDfMCLs3C1YAYn%2F7tA%3D%3D&trackingId=6bHHTUCkKnFZfAt%2BZXigxg%3D%3D&position=3&pageNum=0,4 days ago,AXA,https://fr.linkedin.com/company/axa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Científico de datos,https://es.linkedin.com/jobs/view/cient%C3%ADfico-de-datos-at-mutua-madrile%C3%B1a-4119556427?refId=6WikrDfMCLs3C1YAYn%2F7tA%3D%3D&trackingId=NPbR8eX0hhyrN2Wq2p9Opw%3D%3D&position=4&pageNum=0,4 weeks ago,Mutua Madrileña,https://es.linkedin.com/company/mutua-madrilena?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Analista de datos,https://es.linkedin.com/jobs/view/analista-de-datos-at-shakers-4129619544?refId=6WikrDfMCLs3C1YAYn%2F7tA%3D%3D&trackingId=5KbMV%2FU%2FDYrMOCaCW%2FqbfA%3D%3D&position=5&pageNum=0,2 weeks ago,Shakers,https://es.linkedin.com/company/shakersworks?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Machine Learning & AI Engineer,https://es.linkedin.com/jobs/view/machine-learning-ai-engineer-at-axa-4141624097?refId=6WikrDfMCLs3C1YAYn%2F7tA%3D%3D&trackingId=VMydjC%2BckJZRLAe8gtJ60w%3D%3D&position=6&pageNum=0,4 days ago,AXA,https://fr.linkedin.com/company/axa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Programa Talento Joven Data Analytics,https://es.linkedin.com/jobs/view/programa-talento-joven-data-analytics-at-qualentum-4091842843?refId=6WikrDfMCLs3C1YAYn%2F7tA%3D%3D&trackingId=vmF9XsmI35HsjpA7Q3TBkw%3D%3D&position=7&pageNum=0,4 days ago,Qualentum,https://es.linkedin.com/company/qualentum?trk=public_jobs_jserp-result_job-search-card-subtitle,"Pozuelo de Alarcón, Community of Madrid, Spain"
Data Scientist,https://es.linkedin.com/jobs/view/data-scientist-at-mca-espa%C3%B1a-4137549653?refId=6WikrDfMCLs3C1YAYn%2F7tA%3D%3D&trackingId=e7THsbRl6fKUwXojjLNlTQ%3D%3D&position=8&pageNum=0,1 week ago,MCA España,https://es.linkedin.com/company/mca-engineering-spain?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Machine Learning Engineer,https://es.linkedin.com/jobs/view/machine-learning-engineer-at-fever-4106463702?refId=6WikrDfMCLs3C1YAYn%2F7tA%3D%3D&trackingId=hhQigjo0CehyAitoovZwUw%3D%3D&position=9&pageNum=0,2 months ago,Fever,https://www.linkedin.com/company/fever-up?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Junior Data Scientist,https://es.linkedin.com/jobs/view/junior-data-scientist-at-ladorian-in-store-retail-media-4143252153?refId=6WikrDfMCLs3C1YAYn%2F7tA%3D%3D&trackingId=ypiUmXkzEhbEnyEBCt9zCg%3D%3D&position=10&pageNum=0,2 days ago,Ladorian,https://es.linkedin.com/company/ladorian?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
